job_id,job_title,company_name,location,employment_type,experience_level,department,salary_range,job_description,responsibilities,requirements,preferred_qualifications,required_skills,preferred_skills,status
JD-996865,Full-Stack (Front-End Focused),HCL Technologies,"Noida, India",Full-time,Senior Level,Engineering,?12–22 LPA,This position contributes to performance optimization and feature delivery.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Node.js, Express",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Node.js; Express; PostgreSQL,Tailwind; Docker,Active
JD-766563,Full-Stack (Front-End Focused),Capgemini India,"Mumbai, India",Contract,Lead / Architect,Engineering,?22–40 LPA,The role involves working across development cycles from design to deployment.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Node.js, Express",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Node.js; Express; PostgreSQL,Tailwind; Docker,Active
JD-379946,Mid-Level Front-End Developer,NextGen Software Labs,"Gurgaon, India",Full-time,Entry Level,Engineering,?3–6 LPA,The position contributes to scalable and production-ready software development.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with JavaScript, React, GraphQL","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",JavaScript; React; GraphQL; Apollo Client,Storybook; Chromatic,Active
JD-660086,Mid-Level Front-End Developer,NextGen Software Labs,"Mumbai, India",Full-time,Mid Level,Engineering,?6–12 LPA,The candidate will help translate requirements into effective technical implementations.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with JavaScript, React, GraphQL",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,JavaScript; React; GraphQL; Apollo Client,Storybook; Chromatic,Active
JD-771088,Mid-Level Front-End Developer,NextGen Software Labs,"Chennai, India",Full-time,Senior Level,Engineering,?12–22 LPA,The role involves working across development cycles from design to deployment.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with JavaScript, React, GraphQL",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,JavaScript; React; GraphQL; Apollo Client,Storybook; Chromatic,Active
JD-913694,Mid-Level Front-End Developer,Infosys,"Mumbai, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,The role involves working across development cycles from design to deployment.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with JavaScript, React, GraphQL",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,JavaScript; React; GraphQL; Apollo Client,Storybook; Chromatic,Active
JD-169403,Junior Front-End Developer,HCL Technologies,"Chennai, India",Contract,Entry Level,Engineering,?3–6 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with HTML, CSS, JavaScript","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",HTML; CSS; JavaScript; React,Context API; Styled Components,Active
JD-514850,Junior Front-End Developer,CloudNova Technologies,"Hyderabad, India",Full-time,Mid Level,Engineering,?6–12 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,HTML; CSS; JavaScript; React,Context API; Styled Components,Active
JD-881177,Junior Front-End Developer,Flipkart,"Chennai, India",Contract,Senior Level,Engineering,?12–22 LPA,The position contributes to scalable and production-ready software development.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,HTML; CSS; JavaScript; React,Context API; Styled Components,Active
JD-711878,Junior Front-End Developer,Zoho Corporation,"Pune, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,This role supports continuous improvement of applications within the Junior Front-End Developer domain.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,HTML; CSS; JavaScript; React,Context API; Styled Components,Active
JD-195325,Front-End Developer (Fresher),Infosys,"Noida, India",Full-time,Entry Level,Engineering,?3–6 LPA,This role supports continuous improvement of applications within the Front-End Developer (Fresher) domain.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with HTML, CSS, JavaScript","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",HTML; CSS; JavaScript; React,Redux; REST APIs,Active
JD-930555,Front-End Developer (Fresher),CloudNova Technologies,"Hyderabad, India",Full-time,Mid Level,Engineering,?6–12 LPA,This position contributes to performance optimization and feature delivery.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,HTML; CSS; JavaScript; React,Redux; REST APIs,Active
JD-590785,Front-End Developer (Fresher),Flipkart,"Pune, India",Full-time,Senior Level,Engineering,?12–22 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,HTML; CSS; JavaScript; React,Redux; REST APIs,Active
JD-663054,Front-End Developer (Fresher),Accenture India,"Noida, India",Contract,Lead / Architect,Engineering,?22–40 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,HTML; CSS; JavaScript; React,Redux; REST APIs,Active
JD-265840,Mid-Level Front-End Developer,Freshworks,"Bengaluru, India",Contract,Entry Level,Engineering,?3–6 LPA,This role supports long-term platform evolution and stability.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Next.js, Tailwind","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Next.js; Tailwind; Headless CMS (Strapi/Contentful),SEO,Active
JD-632342,Mid-Level Front-End Developer,TCS,"Noida, India",Contract,Mid Level,Engineering,?6–12 LPA,This role supports long-term platform evolution and stability.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Next.js, Tailwind",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Next.js; Tailwind; Headless CMS (Strapi/Contentful),SEO,Active
JD-260263,Mid-Level Front-End Developer,Capgemini India,"Noida, India",Full-time,Senior Level,Engineering,?12–22 LPA,This role supports long-term platform evolution and stability.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Next.js, Tailwind",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Next.js; Tailwind; Headless CMS (Strapi/Contentful),SEO,Not Active
JD-656116,Mid-Level Front-End Developer,Infosys,"Chennai, India",Contract,Lead / Architect,Engineering,?22–40 LPA,The candidate will help translate requirements into effective technical implementations.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Next.js, Tailwind",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Next.js; Tailwind; Headless CMS (Strapi/Contentful),SEO,Active
JD-480612,Senior Front-End Developer,Accenture India,"Mumbai, India",Full-time,Entry Level,Engineering,?3–6 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Next.js, Micro-frontends","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Next.js; Micro-frontends; CI/CD,AWS; System Design,Active
JD-182582,Senior Front-End Developer,TCS,"Gurgaon, India",Contract,Mid Level,Engineering,?6–12 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Next.js, Micro-frontends",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Next.js; Micro-frontends; CI/CD,AWS; System Design,Not Active
JD-658582,Senior Front-End Developer,Wipro,"Mumbai, India",Contract,Senior Level,Engineering,?12–22 LPA,This role supports long-term platform evolution and stability.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Next.js, Micro-frontends",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Next.js; Micro-frontends; CI/CD,AWS; System Design,Active
JD-653306,Senior Front-End Developer,Paytm,"Hyderabad, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,This role supports long-term platform evolution and stability.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Next.js, Micro-frontends",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Next.js; Micro-frontends; CI/CD,AWS; System Design,Active
JD-823378,Senior Front-End Developer,HCL Technologies,"Gurgaon, India",Contract,Entry Level,Engineering,?3–6 LPA,This position contributes to performance optimization and feature delivery.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Redux, Micro-services","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Redux; Micro-services; GraphQL,Docker; Jenkins,Not Active
JD-781446,Senior Front-End Developer,Capgemini India,"Hyderabad, India",Contract,Mid Level,Engineering,?6–12 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Redux, Micro-services",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Redux; Micro-services; GraphQL,Docker; Jenkins,Active
JD-167136,Senior Front-End Developer,Capgemini India,"Bengaluru, India",Full-time,Senior Level,Engineering,?12–22 LPA,The position contributes to scalable and production-ready software development.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Redux, Micro-services",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Redux; Micro-services; GraphQL,Docker; Jenkins,Active
JD-174441,Senior Front-End Developer,NextGen Software Labs,"Gurgaon, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Redux, Micro-services",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Redux; Micro-services; GraphQL,Docker; Jenkins,Active
JD-132938,Mid-Level Front-End Developer,Capgemini India,"Bengaluru, India",Full-time,Entry Level,Engineering,?3–6 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Redux Saga, TypeScript","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Redux Saga; TypeScript; Webpack,Jest; Cypress,Active
JD-324643,Mid-Level Front-End Developer,Flipkart,"Mumbai, India",Contract,Mid Level,Engineering,?6–12 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Redux Saga, TypeScript",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Redux Saga; TypeScript; Webpack,Jest; Cypress,Active
JD-946721,Mid-Level Front-End Developer,Zoho Corporation,"Mumbai, India",Full-time,Senior Level,Engineering,?12–22 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Redux Saga, TypeScript",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Redux Saga; TypeScript; Webpack,Jest; Cypress,Active
JD-471507,Mid-Level Front-End Developer,Zoho Corporation,"Hyderabad, India",Contract,Lead / Architect,Engineering,?22–40 LPA,This role focuses on developing and maintaining scalable Mid-Level Front-End Developer solutions for real-world applications.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Redux Saga, TypeScript",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Redux Saga; TypeScript; Webpack,Jest; Cypress,Active
JD-777568,Front-End Security Specialist,TCS,"Bengaluru, India",Contract,Entry Level,Engineering,?3–6 LPA,The role involves working across development cycles from design to deployment.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Web Security, OAuth2","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Web Security; OAuth2; JWT,OWASP Top 10; TypeScript,Active
JD-214576,Front-End Security Specialist,HCL Technologies,"Mumbai, India",Full-time,Mid Level,Engineering,?6–12 LPA,This role supports long-term platform evolution and stability.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Web Security, OAuth2",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Web Security; OAuth2; JWT,OWASP Top 10; TypeScript,Active
JD-542374,Front-End Security Specialist,Wipro,"Pune, India",Contract,Senior Level,Engineering,?12–22 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Web Security, OAuth2",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Web Security; OAuth2; JWT,OWASP Top 10; TypeScript,Active
JD-179046,Front-End Security Specialist,Freshworks,"Noida, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,This role focuses on developing and maintaining scalable Front-End Security Specialist solutions for real-world applications.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Web Security, OAuth2",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Web Security; OAuth2; JWT,OWASP Top 10; TypeScript,Active
JD-666847,Junior Front-End Developer,Infosys,"Bengaluru, India",Full-time,Entry Level,Engineering,?3–6 LPA,This role supports continuous improvement of applications within the Junior Front-End Developer domain.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with HTML, CSS, JavaScript","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",HTML; CSS; JavaScript; Vue.js,Nuxt.js; GraphQL,Active
JD-604740,Junior Front-End Developer,HCL Technologies,"Noida, India",Contract,Mid Level,Engineering,?6–12 LPA,This role focuses on developing and maintaining scalable Junior Front-End Developer solutions for real-world applications.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,HTML; CSS; JavaScript; Vue.js,Nuxt.js; GraphQL,Active
JD-102260,Junior Front-End Developer,Zoho Corporation,"Pune, India",Contract,Senior Level,Engineering,?12–22 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,HTML; CSS; JavaScript; Vue.js,Nuxt.js; GraphQL,Active
JD-865990,Junior Front-End Developer,Flipkart,"Gurgaon, India",Contract,Lead / Architect,Engineering,?22–40 LPA,This role supports continuous improvement of applications within the Junior Front-End Developer domain.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with HTML, CSS, JavaScript",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,HTML; CSS; JavaScript; Vue.js,Nuxt.js; GraphQL,Active
JD-328275,Senior Front-End Developer,Infosys,"Chennai, India",Full-time,Entry Level,Engineering,?3–6 LPA,The role involves working across development cycles from design to deployment.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with React, Next.js, Security (XSS/CSRF)","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",React; Next.js; Security (XSS/CSRF); OAuth2,JWT; Cloud Monitoring,Active
JD-712554,Senior Front-End Developer,Freshworks,"Chennai, India",Full-time,Mid Level,Engineering,?6–12 LPA,This role focuses on developing and maintaining scalable Senior Front-End Developer solutions for real-world applications.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with React, Next.js, Security (XSS/CSRF)",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,React; Next.js; Security (XSS/CSRF); OAuth2,JWT; Cloud Monitoring,Not Active
JD-184002,Senior Front-End Developer,Wipro,"Bengaluru, India",Full-time,Senior Level,Engineering,?12–22 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with React, Next.js, Security (XSS/CSRF)",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,React; Next.js; Security (XSS/CSRF); OAuth2,JWT; Cloud Monitoring,Active
JD-697347,Senior Front-End Developer,HCL Technologies,"Chennai, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,The position contributes to scalable and production-ready software development.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with React, Next.js, Security (XSS/CSRF)",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,React; Next.js; Security (XSS/CSRF); OAuth2,JWT; Cloud Monitoring,Active
JD-789305,Senior Front-End Developer,Paytm,"Chennai, India",Contract,Entry Level,Engineering,?3–6 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Angular, TypeScript, NgRx","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Angular; TypeScript; NgRx; Webpack,Performance Budgeting; Mentoring,Active
JD-850981,Senior Front-End Developer,Capgemini India,"Mumbai, India",Contract,Mid Level,Engineering,?6–12 LPA,This position contributes to performance optimization and feature delivery.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Angular, TypeScript, NgRx",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Angular; TypeScript; NgRx; Webpack,Performance Budgeting; Mentoring,Active
JD-776856,Senior Front-End Developer,Accenture India,"Hyderabad, India",Contract,Senior Level,Engineering,?12–22 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Angular, TypeScript, NgRx",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Angular; TypeScript; NgRx; Webpack,Performance Budgeting; Mentoring,Active
JD-751332,Senior Front-End Developer,Paytm,"Bengaluru, India",Full-time,Lead / Architect,Engineering,?22–40 LPA,This role supports long-term platform evolution and stability.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Angular, TypeScript, NgRx",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Angular; TypeScript; NgRx; Webpack,Performance Budgeting; Mentoring,Active
JD-378082,Full-Stack UI Developer,Wipro,"Pune, India",Full-time,Entry Level,Engineering,?3–6 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with HTML, CSS, Tailwind","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",HTML; CSS; Tailwind; JavaScript,UI Prototyping; Sketch,Active
